run,impl,threads,size,mix,mean_ops_per_sec,std_within_run
3,coarse,48,16384,write_heavy,20318,61
3,coarse,48,16384,write_snap_long,18936,130
3,coarse,64,1024,read_heavy,319557,3723
3,coarse,64,1024,read_snap_short,345111,6204
3,coarse,64,1024,write_heavy,372938,5109
3,coarse,64,1024,write_snap_long,350438,4633
3,coarse,64,16384,read_heavy,29972,15683
3,coarse,64,16384,read_snap_short,21098,244
3,coarse,64,16384,write_heavy,20523,205
3,coarse,64,16384,write_snap_long,24043,9039
3,mvrlu,1,1024,read_heavy,254964,225
3,mvrlu,1,1024,read_snap_short,256306,202
3,mvrlu,1,1024,write_heavy,261227,266
3,mvrlu,1,1024,write_snap_long,233019,160
3,mvrlu,1,16384,read_heavy,5301,24
3,mvrlu,1,16384,read_snap_short,4888,24
3,mvrlu,1,16384,write_heavy,5234,2
3,mvrlu,1,16384,write_snap_long,4390,7
3,mvrlu,2,1024,read_heavy,512452,5438
3,mvrlu,2,1024,read_snap_short,477026,14935
3,mvrlu,2,1024,write_heavy,463128,9773
3,mvrlu,2,1024,write_snap_long,435036,904
3,mvrlu,2,16384,read_heavy,10802,13
3,mvrlu,2,16384,read_snap_short,10262,30
3,mvrlu,2,16384,write_heavy,10395,16
3,mvrlu,2,16384,write_snap_long,8921,18
3,mvrlu,4,1024,read_heavy,1018449,13117
3,mvrlu,4,1024,read_snap_short,935872,2053
3,mvrlu,4,1024,write_heavy,904446,3970
3,mvrlu,4,1024,write_snap_long,852322,1433
3,mvrlu,4,16384,read_heavy,21354,64
3,mvrlu,4,16384,read_snap_short,20454,10
3,mvrlu,4,16384,write_heavy,19528,17
3,mvrlu,4,16384,write_snap_long,17298,33
3,mvrlu,8,1024,read_heavy,1985420,28348
3,mvrlu,8,1024,read_snap_short,1793426,3783
3,mvrlu,8,1024,write_heavy,1594003,21514
3,mvrlu,8,1024,write_snap_long,1559799,7745
3,mvrlu,8,16384,read_heavy,40181,100
3,mvrlu,8,16384,read_snap_short,39212,257
3,mvrlu,8,16384,write_heavy,37924,397
3,mvrlu,8,16384,write_snap_long,33108,29
3,mvrlu,16,1024,read_heavy,3923040,21120
3,mvrlu,16,1024,read_snap_short,3477423,30921
3,mvrlu,16,1024,write_heavy,2859383,16799
3,mvrlu,16,1024,write_snap_long,2896451,10488
3,mvrlu,16,16384,read_heavy,79322,315
3,mvrlu,16,16384,read_snap_short,77006,187
3,mvrlu,16,16384,write_heavy,72909,186
3,mvrlu,16,16384,write_snap_long,75522,20432
3,mvrlu,24,1024,read_heavy,5804874,10993
3,mvrlu,24,1024,read_snap_short,5041126,23807
